source_path,plan_label,beam_number,beam_name,control_point_index,gantry_angle_deg,axial_position_mm,cumulative_meterset_weight,dose_rate_mu_per_min,jaw_x1_mm,jaw_x2_mm,jaw_y1_mm,jaw_y2_mm,delta_gantry_deg,delta_axial_mm,delta_cumulative_meterset_weight,aperture_width_mm,projection_label,projection_pitch,projection_mu_density_proxy,projection_aperture_change,projection_leaf_travel,projection_leaf_travel_mlcx1,projection_leaf_travel_mlcx2
D:\Obsidian\Web Clipper\001_inbox\RTPLAN_57661.dcm,NewPlan,1,Beam1,0,0.0,-60.25,0.0,1400.0,-150.0,150.0,-150.0,150.0,,,,21.8475,,,,,,,
D:\Obsidian\Web Clipper\001_inbox\RTPLAN_57661.dcm,NewPlan,1,Beam1,1,356.0,-60.620368958,0.0028959915263,1400.0,-150.0,150.0,-150.0,150.0,-4.0,-0.37036895800000025,0.0028959915263,29.245599999999996,0→1,0.09259223950000006,0.007819206938773736,19.97494617245971,411.4143388874396,192.9791859068274,218.4351529806122
D:\Obsidian\Web Clipper\001_inbox\RTPLAN_57661.dcm,NewPlan,1,Beam1,2,352.0,-60.990737915,0.0058952584935,1400.0,-150.0,150.0,-150.0,150.0,-4.0,-0.3703689569999966,0.0029992669671999998,40.6444,1→2,0.09259223924999915,0.008098051714415222,30.776877447642313,313.45013615706745,153.41431544437057,160.03582071269688
D:\Obsidian\Web Clipper\001_inbox\RTPLAN_57661.dcm,NewPlan,1,Beam1,3,348.0,-61.361106873,0.0088914249694,1400.0,-150.0,150.0,-150.0,150.0,-4.0,-0.37036895800000025,0.0029961664758999997,37.3321,2→3,0.09259223950000006,0.00808968033411698,8.943244104167063,318.39520416827133,149.4191097948332,168.97609437343817
D:\Obsidian\Web Clipper\001_inbox\RTPLAN_57661.dcm,NewPlan,1,Beam1,4,344.0,-61.73147583,0.01194784894,1400.0,-150.0,150.0,-150.0,150.0,-4.0,-0.3703689570000037,0.0030564239706000005,38.941,3→4,0.09259223925000093,0.008252376212512784,4.344046577316115,354.5604930382939,204.11753893293826,150.44295410535565
D:\Obsidian\Web Clipper\001_inbox\RTPLAN_57661.dcm,NewPlan,1,Beam1,5,340.0,-62.101844788,0.014825706311,1400.0,-150.0,150.0,-150.0,150.0,-4.0,-0.37036895800000025,0.002877857370999999,48.5957,4→5,0.09259223950000006,0.007770244532750494,26.0677894069081,541.1382235765016,259.0851579953414,282.0530655811601
D:\Obsidian\Web Clipper\001_inbox\RTPLAN_57661.dcm,NewPlan,1,Beam1,6,336.0,-62.472213745,0.017387271499,1400.0,-150.0,150.0,-150.0,150.0,-4.0,-0.3703689569999966,0.002561565188000001,27.1,5→6,0.09259223924999915,0.006916252400710852,58.0386114811458,576.935501643573,277.6679796087795,299.26752203479356
D:\Obsidian\Web Clipper\001_inbox\RTPLAN_57661.dcm,NewPlan,1,Beam1,7,332.0,-62.842582703,0.02007782621,1400.0,-150.0,150.0,-150.0,150.0,-4.0,-0.37036895800000025,0.0026905547109999997,33.4764,6→7,0.09259223950000006,0.007264525422241239,17.216345652812493,271.22791430052825,179.56472475212126,91.66318954840696
D:\Obsidian\Web Clipper\001_inbox\RTPLAN_57661.dcm,NewPlan,1,Beam1,8,328.0,-63.21295166,0.022751229767,1400.0,-150.0,150.0,-150.0,150.0,-4.0,-0.3703689570000037,0.0026734035569999995,27.8171,7→8,0.09259223925000093,0.00721821714933839,15.280168310650133,197.67315434052227,107.30866950061261,90.36448483990968
D:\Obsidian\Web Clipper\001_inbox\RTPLAN_57661.dcm,NewPlan,1,Beam1,9,324.0,-63.583320618,0.025336834127,1400.0,-150.0,150.0,-150.0,150.0,-4.0,-0.37036895800000025,0.0025856043600000003,25.6791,8→9,0.09259223950000006,0.006981158393949416,5.772622013316786,179.84390581675035,89.83204256551106,90.01186325123929
D:\Obsidian\Web Clipper\001_inbox\RTPLAN_57661.dcm,NewPlan,1,Beam1,10,320.0,-63.953689575,0.027842504819,1400.0,-150.0,150.0,-150.0,150.0,-4.0,-0.3703689569999966,0.0025056706920000005,27.739199999999993,9→10,0.09259223924999915,0.006765336685601389,5.562291226259585,223.44529268958348,118.02744040451644,105.41785228506704
D:\Obsidian\Web Clipper\001_inbox\RTPLAN_57661.dcm,NewPlan,1,Beam1,11,316.0,-64.324058533,0.030396730267,1400.0,-150.0,150.0,-150.0,150.0,-4.0,-0.37036895800000025,0.0025542254479999985,34.127500000000005,10→11,0.09259223950000006,0.006896435008465252,17.248475775337543,329.6375070396691,232.45387643961226,97.18363060005687
D:\Obsidian\Web Clipper\001_inbox\RTPLAN_57661.dcm,NewPlan,1,Beam1,12,312.0,-64.69442749,0.032964953343,1400.0,-150.0,150.0,-150.0,150.0,-4.0,-0.3703689569999966,0.002568223076000003,27.9071,11→12,0.09259223924999915,0.006934228766910469,16.795144091949535,146.4042786933693,76.41245159755725,69.99182709581204
D:\Obsidian\Web Clipper\001_inbox\RTPLAN_57661.dcm,NewPlan,1,Beam1,13,308.0,-65.064796447754,0.035452602506,1400.0,-150.0,150.0,-150.0,150.0,-4.0,-0.37036895775401035,0.002487649162999997,27.114099999999997,12→13,0.09259223943850259,0.0067166783579422715,2.1411081663239533,469.2990499366923,240.43942705140427,228.85962288528805
